,Survived,Pclass,Sex,Age,Fare,Family_cnt,cabin_ind,Level
64,0,1,0,29.69911764705882,27.7208,0,0,9
65,1,3,0,29.69911764705882,15.2458,2,0,9
66,1,2,1,29.0,10.5,0,1,6
67,0,3,0,19.0,8.1583,0,0,9
68,1,3,1,17.0,7.925,6,0,9
69,0,3,0,26.0,8.6625,2,0,9
70,0,2,0,32.0,10.5,0,0,9
71,0,3,1,16.0,46.9,7,0,9
72,0,2,0,21.0,73.5,0,0,9
73,0,3,0,26.0,14.4542,1,0,9
74,1,3,0,32.0,56.4958,0,0,9
75,0,3,0,25.0,7.65,0,1,6
76,0,3,0,29.69911764705882,7.8958,0,0,9
77,0,3,0,29.69911764705882,8.05,0,0,9
78,1,2,0,0.83,29.0,2,0,9
79,1,3,1,30.0,12.475,0,0,9
80,0,3,0,22.0,9.0,0,0,9
81,1,3,0,29.0,9.5,0,0,9
82,1,3,1,29.69911764705882,7.7875,0,0,9
83,0,1,0,28.0,47.1,0,0,9
84,1,2,1,17.0,10.5,0,0,9
85,1,3,1,33.0,15.85,3,0,9
86,0,3,0,16.0,34.375,4,0,9
87,0,3,0,29.69911764705882,8.05,0,0,9
88,1,1,1,23.0,263.0,5,1,3
89,0,3,0,24.0,8.05,0,0,9
90,0,3,0,29.0,8.05,0,0,9
91,0,3,0,20.0,7.8542,0,0,9
92,0,1,0,46.0,61.175,1,1,5
93,0,3,0,26.0,20.575,3,0,9
94,0,3,0,59.0,7.25,0,0,9
95,0,3,0,29.69911764705882,8.05,0,0,9
96,0,1,0,71.0,34.6542,0,1,1
97,1,1,0,23.0,63.3583,1,1,4
98,1,2,1,34.0,23.0,1,0,9
99,0,2,0,34.0,26.0,1,0,9
100,0,3,1,28.0,7.8958,0,0,9
101,0,3,0,29.69911764705882,7.8958,0,0,9
102,0,1,0,21.0,77.2875,1,1,4
103,0,3,0,33.0,8.6542,0,0,9
104,0,3,0,37.0,7.925,2,0,9
105,0,3,0,28.0,7.8958,0,0,9
106,1,3,1,21.0,7.65,0,0,9
107,1,3,0,29.69911764705882,7.775,0,0,9
108,0,3,0,38.0,7.8958,0,0,9
109,1,3,1,29.69911764705882,24.15,1,0,9
110,0,1,0,47.0,52.0,0,1,3
111,0,3,1,14.5,14.4542,1,0,9
112,0,3,0,22.0,8.05,0,0,9
113,0,3,1,20.0,9.825,1,0,9
114,0,3,1,17.0,14.4583,0,0,9
115,0,3,0,21.0,7.925,0,0,9
116,0,3,0,70.5,7.75,0,0,9
117,0,2,0,29.0,21.0,1,0,9
118,0,1,0,24.0,247.5208,1,1,2
119,0,3,1,2.0,31.275,6,0,9
120,0,2,0,21.0,73.5,2,0,9
121,0,3,0,29.69911764705882,8.05,0,0,9
122,0,2,0,32.5,30.0708,1,0,9
123,1,2,1,32.5,13.0,0,1,5
124,0,1,0,54.0,77.2875,1,1,4
125,1,3,0,12.0,11.2417,1,0,9
126,0,3,0,29.69911764705882,7.75,0,0,9
127,1,3,0,24.0,7.1417,0,0,9
128,1,3,1,29.69911764705882,22.3583,2,1,6
129,0,3,0,45.0,6.975,0,0,9
130,0,3,0,33.0,7.8958,0,0,9
131,0,3,0,20.0,7.05,0,0,9
132,0,3,1,47.0,14.5,1,0,9
133,1,2,1,29.0,26.0,1,0,9
134,0,2,0,25.0,13.0,0,0,9
135,0,2,0,23.0,15.0458,0,0,9
136,1,1,1,19.0,26.2833,2,1,4
137,0,1,0,37.0,53.1,1,1,3
138,0,3,0,16.0,9.2167,0,0,9
139,0,1,0,24.0,79.2,0,1,2
140,0,3,1,29.69911764705882,15.2458,2,0,9
141,1,3,1,22.0,7.75,0,0,9
142,1,3,1,24.0,15.85,1,0,9
143,0,3,0,19.0,6.75,0,0,9
144,0,2,0,18.0,11.5,0,0,9
145,0,2,0,19.0,36.75,2,0,9
146,1,3,0,27.0,7.7958,0,0,9
147,0,3,1,9.0,34.375,4,0,9
148,0,2,0,36.5,26.0,2,1,6
149,0,2,0,42.0,13.0,0,0,9
150,0,2,0,51.0,12.525,0,0,9
151,1,1,1,22.0,66.6,1,1,3
152,0,3,0,55.5,8.05,0,0,9
153,0,3,0,40.5,14.5,2,0,9
154,0,3,0,29.69911764705882,7.3125,0,0,9
155,0,1,0,51.0,61.3792,1,0,9
156,1,3,1,16.0,7.7333,0,0,9
157,0,3,0,30.0,8.05,0,0,9
158,0,3,0,29.69911764705882,8.6625,0,0,9
159,0,3,0,29.69911764705882,69.55,10,0,9
160,0,3,0,44.0,16.1,1,0,9
161,1,2,1,40.0,15.75,0,0,9
162,0,3,0,26.0,7.775,0,0,9
163,0,3,0,17.0,8.6625,0,0,9
164,0,3,0,1.0,39.6875,5,0,9
165,1,3,0,9.0,20.525,2,0,9
166,1,1,1,29.69911764705882,55.0,1,1,5
167,0,3,1,45.0,27.9,5,0,9
168,0,1,0,29.69911764705882,25.925,0,0,9
169,0,3,0,28.0,56.4958,0,0,9
170,0,1,0,61.0,33.5,0,1,2
171,0,3,0,4.0,29.125,5,0,9
172,1,3,1,1.0,11.1333,2,0,9
173,0,3,0,21.0,7.925,0,0,9
174,0,1,0,56.0,30.6958,0,1,1
175,0,3,0,18.0,7.8542,2,0,9
176,0,3,0,29.69911764705882,25.4667,4,0,9
177,0,1,1,50.0,28.7125,0,1,3
178,0,2,0,30.0,13.0,0,0,9
179,0,3,0,36.0,0.0,0,0,9
180,0,3,1,29.69911764705882,69.55,10,0,9
181,0,2,0,29.69911764705882,15.05,0,0,9
182,0,3,0,9.0,31.3875,6,0,9
183,1,2,0,1.0,39.0,3,1,6
184,1,3,1,4.0,22.025,2,0,9
185,0,1,0,29.69911764705882,50.0,0,1,1
186,1,3,1,29.69911764705882,15.5,1,0,9
187,1,1,0,45.0,26.55,0,0,9
188,0,3,0,40.0,15.5,2,0,9
189,0,3,0,36.0,7.8958,0,0,9
190,1,2,1,32.0,13.0,0,0,9
191,0,2,0,19.0,13.0,0,0,9
192,1,3,1,19.0,7.8542,1,0,9
193,1,2,0,3.0,26.0,2,1,6
194,1,1,1,44.0,27.7208,0,1,2
195,1,1,1,58.0,146.5208,0,1,2
196,0,3,0,29.69911764705882,7.75,0,0,9
197,0,3,0,42.0,8.4042,1,0,9
198,1,3,1,29.69911764705882,7.75,0,0,9
199,0,2,1,24.0,13.0,0,0,9
200,0,3,0,28.0,9.5,0,0,9
201,0,3,0,29.69911764705882,69.55,10,0,9
202,0,3,0,34.0,6.4958,0,0,9
203,0,3,0,45.5,7.225,0,0,9
204,1,3,0,18.0,8.05,0,0,9
205,0,3,1,2.0,10.4625,1,1,7
206,0,3,0,32.0,15.85,1,0,9
207,1,3,0,26.0,18.7875,0,0,9
208,1,3,1,16.0,7.75,0,0,9
209,1,1,0,40.0,31.0,0,1,1
210,0,3,0,24.0,7.05,0,0,9
211,1,2,1,35.0,21.0,0,0,9
212,0,3,0,22.0,7.25,0,0,9
213,0,2,0,30.0,13.0,0,0,9
214,0,3,0,29.69911764705882,7.75,1,0,9
215,1,1,1,31.0,113.275,1,1,4
216,1,3,1,27.0,7.925,0,0,9
217,0,2,0,42.0,27.0,1,0,9
218,1,1,1,32.0,76.2917,0,1,4
219,0,2,0,30.0,10.5,0,0,9
220,1,3,0,16.0,8.05,0,0,9
221,0,2,0,27.0,13.0,0,0,9
222,0,3,0,51.0,8.05,0,0,9
223,0,3,0,29.69911764705882,7.8958,0,0,9
224,1,1,0,38.0,90.0,1,1,3
225,0,3,0,22.0,9.35,0,0,9
226,1,2,0,19.0,10.5,0,0,9
227,0,3,0,20.5,7.25,0,0,9
228,0,2,0,18.0,13.0,0,0,9
229,0,3,1,29.69911764705882,25.4667,4,0,9
230,1,1,1,35.0,83.475,1,1,3
231,0,3,0,29.0,7.775,0,0,9
232,0,2,0,59.0,13.5,0,0,9
233,1,3,1,5.0,31.3875,6,0,9
234,0,2,0,24.0,10.5,0,0,9
235,0,3,1,29.69911764705882,7.55,0,0,9
236,0,2,0,44.0,26.0,1,0,9
237,1,2,1,8.0,26.25,2,0,9
238,0,2,0,19.0,10.5,0,0,9
239,0,2,0,33.0,12.275,0,0,9
240,0,3,1,29.69911764705882,14.4542,1,0,9
241,1,3,1,29.69911764705882,15.5,1,0,9
242,0,2,0,29.0,10.5,0,0,9
243,0,3,0,22.0,7.125,0,0,9
244,0,3,0,30.0,7.225,0,0,9
245,0,1,0,44.0,90.0,2,1,3
246,0,3,1,25.0,7.775,0,0,9
247,1,2,1,24.0,14.5,2,0,9
248,1,1,0,37.0,52.5542,2,1,4
249,0,2,0,54.0,26.0,1,0,9
250,0,3,0,29.69911764705882,7.25,0,0,9
251,0,3,1,29.0,10.4625,2,1,7
252,0,1,0,62.0,26.55,0,1,3
253,0,3,0,30.0,16.1,1,0,9
254,0,3,1,41.0,20.2125,2,0,9
255,1,3,1,29.0,15.2458,2,0,9
256,1,1,1,29.69911764705882,79.2,0,0,9
257,1,1,1,30.0,86.5,0,1,2
258,1,1,1,35.0,512.3292,0,0,9
259,1,2,1,50.0,26.0,1,0,9
260,0,3,0,29.69911764705882,7.75,0,0,9
261,1,3,0,3.0,31.3875,6,0,9
262,0,1,0,52.0,79.65,2,1,5
263,0,1,0,40.0,0.0,0,1,2
264,0,3,1,29.69911764705882,7.75,0,0,9
265,0,2,0,36.0,10.5,0,0,9
266,0,3,0,16.0,39.6875,5,0,9
267,1,3,0,25.0,7.775,1,0,9
268,1,1,1,58.0,153.4625,1,1,3
269,1,1,1,35.0,135.6333,0,1,3
270,0,1,0,29.69911764705882,31.0,0,0,9
271,1,3,0,25.0,0.0,0,0,9
272,1,2,1,41.0,19.5,1,0,9
273,0,1,0,37.0,29.7,1,1,3
274,1,3,1,29.69911764705882,7.75,0,0,9
275,1,1,1,63.0,77.9583,1,1,4
276,0,3,1,45.0,7.75,0,0,9
277,0,2,0,29.69911764705882,0.0,0,0,9
278,0,3,0,7.0,29.125,5,0,9
279,1,3,1,35.0,20.25,2,0,9
280,0,3,0,65.0,7.75,0,0,9
281,0,3,0,28.0,7.8542,0,0,9
282,0,3,0,16.0,9.5,0,0,9
283,1,3,0,19.0,8.05,0,0,9
284,0,1,0,29.69911764705882,26.0,0,1,1
285,0,3,0,33.0,8.6625,0,0,9
286,1,3,0,30.0,9.5,0,0,9
287,0,3,0,22.0,7.8958,0,0,9
288,1,2,0,42.0,13.0,0,0,9
289,1,3,1,22.0,7.75,0,0,9
290,1,1,1,26.0,78.85,0,0,9
291,1,1,1,19.0,91.0792,1,1,2
292,0,2,0,36.0,12.875,0,1,4
293,0,3,1,24.0,8.85,0,0,9
294,0,3,0,24.0,7.8958,0,0,9
295,0,1,0,29.69911764705882,27.7208,0,0,9
296,0,3,0,23.5,7.2292,0,0,9
297,0,1,1,2.0,151.55,3,1,3
298,1,1,0,29.69911764705882,30.5,0,1,3
299,1,1,1,50.0,247.5208,1,1,2
300,1,3,1,29.69911764705882,7.75,0,0,9
301,1,3,0,29.69911764705882,23.25,2,0,9
302,0,3,0,19.0,0.0,0,0,9
303,1,2,1,29.69911764705882,12.35,0,1,5
304,0,3,0,29.69911764705882,8.05,0,0,9
305,1,1,0,0.92,151.55,3,1,3
306,1,1,1,29.69911764705882,110.8833,0,0,9
307,1,1,1,17.0,108.9,1,1,3
308,0,2,0,30.0,24.0,1,0,9
309,1,1,1,30.0,56.9292,0,1,5
310,1,1,1,24.0,83.1583,0,1,3
311,1,1,1,18.0,262.375,4,1,2
312,0,2,1,26.0,26.0,2,0,9
313,0,3,0,28.0,7.8958,0,0,9
314,0,2,0,43.0,26.25,2,0,9
315,1,3,1,26.0,7.8542,0,0,9
316,1,2,1,24.0,26.0,1,0,9
317,0,2,0,54.0,14.0,0,0,9
318,1,1,1,31.0,164.8667,2,1,3
319,1,1,1,40.0,134.5,2,1,5
320,0,3,0,22.0,7.25,0,0,9
321,0,3,0,27.0,7.8958,0,0,9
322,1,2,1,30.0,12.35,0,0,9
323,1,2,1,22.0,29.0,2,0,9
324,0,3,0,29.69911764705882,69.55,10,0,9
325,1,1,1,36.0,135.6333,0,1,3
326,0,3,0,61.0,6.2375,0,0,9
327,1,2,1,36.0,13.0,0,1,4
328,1,3,1,31.0,20.525,2,0,9
329,1,1,1,16.0,57.9792,1,1,2
330,1,3,1,29.69911764705882,23.25,2,0,9
331,0,1,0,45.5,28.5,0,1,3
332,0,1,0,38.0,153.4625,1,1,3
333,0,3,0,16.0,18.0,2,0,9
334,1,1,1,29.69911764705882,133.65,1,0,9
335,0,3,0,29.69911764705882,7.8958,0,0,9
336,0,1,0,29.0,66.6,1,1,3
337,1,1,1,41.0,134.5,0,1,5
338,1,3,0,45.0,8.05,0,0,9
339,0,1,0,45.0,35.5,0,1,8
340,1,2,0,2.0,26.0,2,1,6
341,1,1,1,24.0,263.0,5,1,3
342,0,2,0,28.0,13.0,0,0,9
343,0,2,0,25.0,13.0,0,0,9
344,0,2,0,36.0,13.0,0,0,9
345,1,2,1,24.0,13.0,0,1,6
346,1,2,1,40.0,13.0,0,0,9
347,1,3,1,29.69911764705882,16.1,1,0,9
348,1,3,0,3.0,15.9,2,0,9
349,0,3,0,42.0,8.6625,0,0,9
350,0,3,0,23.0,9.225,0,0,9
351,0,1,0,29.69911764705882,35.0,0,1,3
352,0,3,0,15.0,7.2292,2,0,9
353,0,3,0,25.0,17.8,1,0,9
354,0,3,0,29.69911764705882,7.225,0,0,9
355,0,3,0,28.0,9.5,0,0,9
356,1,1,1,22.0,55.0,1,1,5
357,0,2,1,38.0,13.0,0,0,9
358,1,3,1,29.69911764705882,7.8792,0,0,9
359,1,3,1,29.69911764705882,7.8792,0,0,9
360,0,3,0,40.0,27.9,5,0,9
361,0,2,0,29.0,27.7208,1,0,9
362,0,3,1,45.0,14.4542,1,0,9
363,0,3,0,35.0,7.05,0,0,9
364,0,3,0,29.69911764705882,15.5,1,0,9
365,0,3,0,30.0,7.25,0,0,9
366,1,1,1,60.0,75.25,1,1,4
367,1,3,1,29.69911764705882,7.2292,0,0,9
368,1,3,1,29.69911764705882,7.75,0,0,9
369,1,1,1,24.0,69.3,0,1,2
370,1,1,0,25.0,55.4417,1,1,5
371,0,3,0,18.0,6.4958,1,0,9
372,0,3,0,19.0,8.05,0,0,9
373,0,1,0,22.0,135.6333,0,0,9
374,0,3,1,3.0,21.075,4,0,9
375,1,1,1,29.69911764705882,82.1708,1,0,9
376,1,3,1,22.0,7.25,0,0,9
377,0,1,0,27.0,211.5,2,1,3
378,0,3,0,20.0,4.0125,0,0,9
379,0,3,0,19.0,7.775,0,0,9
380,1,1,1,42.0,227.525,0,0,9
381,1,3,1,1.0,15.7417,2,0,9
382,0,3,0,32.0,7.925,0,0,9
383,1,1,1,35.0,52.0,1,0,9
384,0,3,0,29.69911764705882,7.8958,0,0,9
385,0,2,0,18.0,73.5,0,0,9
386,0,3,0,1.0,46.9,7,0,9
387,1,2,1,36.0,13.0,0,0,9
388,0,3,0,29.69911764705882,7.7292,0,0,9
389,1,2,1,17.0,12.0,0,0,9
390,1,1,0,36.0,120.0,3,1,2
391,1,3,0,21.0,7.7958,0,0,9
392,0,3,0,28.0,7.925,2,0,9
393,1,1,1,23.0,113.275,1,1,4
394,1,3,1,24.0,16.7,2,1,7
395,0,3,0,22.0,7.7958,0,0,9
396,0,3,1,31.0,7.8542,0,0,9
397,0,2,0,46.0,26.0,0,0,9
398,0,2,0,23.0,10.5,0,0,9
399,1,2,1,28.0,12.65,0,0,9
400,1,3,0,39.0,7.925,0,0,9
401,0,3,0,26.0,8.05,0,0,9
402,0,3,1,21.0,9.825,1,0,9
403,0,3,0,28.0,15.85,1,0,9
404,0,3,1,20.0,8.6625,0,0,9
405,0,2,0,34.0,21.0,1,0,9
406,0,3,0,51.0,7.75,0,0,9
407,1,2,0,3.0,18.75,2,0,9
408,0,3,0,21.0,7.775,0,0,9
409,0,3,1,29.69911764705882,25.4667,4,0,9
410,0,3,0,29.69911764705882,7.8958,0,0,9
411,0,3,0,29.69911764705882,6.8583,0,0,9
412,1,1,1,33.0,90.0,1,1,3
413,0,2,0,29.69911764705882,0.0,0,0,9
414,1,3,0,44.0,7.925,0,0,9
415,0,3,1,29.69911764705882,8.05,0,0,9
416,1,2,1,34.0,32.5,2,0,9
417,1,2,1,18.0,13.0,2,0,9
418,0,2,0,30.0,13.0,0,0,9
419,0,3,1,10.0,24.15,2,0,9
420,0,3,0,29.69911764705882,7.8958,0,0,9
421,0,3,0,21.0,7.7333,0,0,9
422,0,3,0,29.0,7.875,0,0,9
423,0,3,1,28.0,14.4,2,0,9
424,0,3,0,18.0,20.2125,2,0,9
425,0,3,0,29.69911764705882,7.25,0,0,9
426,1,2,1,28.0,26.0,1,0,9
427,1,2,1,19.0,26.0,0,0,9
428,0,3,0,29.69911764705882,7.75,0,0,9
429,1,3,0,32.0,8.05,0,1,5
430,1,1,0,28.0,26.55,0,1,3
431,1,3,1,29.69911764705882,16.1,1,0,9
432,1,2,1,42.0,26.0,1,0,9
433,0,3,0,17.0,7.125,0,0,9
434,0,1,0,50.0,55.9,1,1,5
435,1,1,1,14.0,120.0,3,1,2
436,0,3,1,21.0,34.375,4,0,9
437,1,2,1,24.0,18.75,5,0,9
438,0,1,0,64.0,263.0,5,1,3
439,0,2,0,31.0,10.5,0,0,9
440,1,2,1,45.0,26.25,2,0,9
441,0,3,0,20.0,9.5,0,0,9
442,0,3,0,25.0,7.775,1,0,9
443,1,2,1,28.0,13.0,0,0,9
444,1,3,0,29.69911764705882,8.1125,0,0,9
445,1,1,0,4.0,81.8583,2,1,1
446,1,2,1,13.0,19.5,1,0,9
447,1,1,0,34.0,26.55,0,0,9
448,1,3,1,5.0,19.2583,3,0,9
449,1,1,0,52.0,30.5,0,1,3
450,0,2,0,36.0,27.75,3,0,9
451,0,3,0,29.69911764705882,19.9667,1,0,9
452,0,1,0,30.0,27.75,0,1,3
453,1,1,0,49.0,89.1042,1,1,3
454,0,3,0,29.69911764705882,8.05,0,0,9
455,1,3,0,29.0,7.8958,0,0,9
456,0,1,0,65.0,26.55,0,1,5
457,1,1,1,29.69911764705882,51.8625,1,1,4
458,1,2,1,50.0,10.5,0,0,9
459,0,3,0,29.69911764705882,7.75,0,0,9
460,1,1,0,48.0,26.55,0,1,5
461,0,3,0,34.0,8.05,0,0,9
462,0,1,0,47.0,38.5,0,1,5
463,0,2,0,48.0,13.0,0,0,9
464,0,3,0,29.69911764705882,8.05,0,0,9
465,0,3,0,38.0,7.05,0,0,9
466,0,2,0,29.69911764705882,0.0,0,0,9
467,0,1,0,56.0,26.55,0,0,9
468,0,3,0,29.69911764705882,7.725,0,0,9
469,1,3,1,0.75,19.2583,3,0,9
470,0,3,0,29.69911764705882,7.25,0,0,9
471,0,3,0,38.0,8.6625,0,0,9
472,1,2,1,33.0,27.75,3,0,9
473,1,2,1,23.0,13.7917,0,1,4
474,0,3,1,22.0,9.8375,0,0,9
475,0,1,0,29.69911764705882,52.0,0,1,1
476,0,2,0,34.0,21.0,1,0,9
477,0,3,0,29.0,7.0458,1,0,9
478,0,3,0,22.0,7.5208,0,0,9
479,1,3,1,2.0,12.2875,1,0,9
480,0,3,0,9.0,46.9,7,0,9
481,0,2,0,29.69911764705882,0.0,0,0,9
482,0,3,0,50.0,8.05,0,0,9
483,1,3,1,63.0,9.5875,0,0,9
484,1,1,0,25.0,91.0792,1,1,2
485,0,3,1,29.69911764705882,25.4667,4,0,9
486,1,1,1,35.0,90.0,1,1,3
487,0,1,0,58.0,29.7,0,1,2
488,0,3,0,30.0,8.05,0,0,9
489,1,3,0,9.0,15.9,2,0,9
490,0,3,0,29.69911764705882,19.9667,1,0,9
491,0,3,0,21.0,7.25,0,0,9
492,0,1,0,55.0,30.5,0,1,3
493,0,1,0,71.0,49.5042,0,0,9
494,0,3,0,21.0,8.05,0,0,9
495,0,3,0,29.69911764705882,14.4583,0,0,9
496,1,1,1,54.0,78.2667,1,1,4
497,0,3,0,29.69911764705882,15.1,0,0,9
498,0,1,1,25.0,151.55,3,1,3
499,0,3,0,24.0,7.7958,0,0,9
500,0,3,0,17.0,8.6625,0,0,9
501,0,3,1,21.0,7.75,0,0,9
502,0,3,1,29.69911764705882,7.6292,0,0,9
503,0,3,1,37.0,9.5875,0,0,9
504,1,1,1,16.0,86.5,0,1,2
505,0,1,0,18.0,108.9,1,1,3
506,1,2,1,33.0,26.0,2,0,9
507,1,1,0,29.69911764705882,26.55,0,0,9
508,0,3,0,28.0,22.525,0,0,9
509,1,3,0,26.0,56.4958,0,0,9
510,1,3,0,29.0,7.75,0,0,9
511,0,3,0,29.69911764705882,8.05,0,0,9
512,1,1,0,36.0,26.2875,0,1,5
513,1,1,1,54.0,59.4,1,0,9
514,0,3,0,24.0,7.4958,0,0,9
515,0,1,0,47.0,34.0208,0,1,4
516,1,2,1,34.0,10.5,0,1,6
517,0,3,0,29.69911764705882,24.15,0,0,9
518,1,2,1,36.0,26.0,1,0,9
519,0,3,0,32.0,7.8958,0,0,9
520,1,1,1,30.0,93.5,0,1,2
521,0,3,0,22.0,7.8958,0,0,9
522,0,3,0,29.69911764705882,7.225,0,0,9
523,1,1,1,44.0,57.9792,1,1,2
524,0,3,0,29.69911764705882,7.2292,0,0,9
525,0,3,0,40.5,7.75,0,0,9
526,1,2,1,50.0,10.5,0,0,9
527,0,1,0,29.69911764705882,221.7792,0,1,3
528,0,3,0,39.0,7.925,0,0,9
529,0,2,0,23.0,11.5,3,0,9
530,1,2,1,2.0,26.0,2,0,9
531,0,3,0,29.69911764705882,7.2292,0,0,9
532,0,3,0,17.0,7.2292,2,0,9
533,1,3,1,29.69911764705882,22.3583,2,0,9
534,0,3,1,30.0,8.6625,0,0,9
535,1,2,1,7.0,26.25,2,0,9
536,0,1,0,45.0,26.55,0,1,2
537,1,1,1,30.0,106.425,0,0,9
538,0,3,0,29.69911764705882,14.5,0,0,9
539,1,1,1,22.0,49.5,2,1,2
540,1,1,1,36.0,71.0,2,1,2
541,0,3,1,9.0,31.275,6,0,9
542,0,3,1,11.0,31.275,6,0,9
543,1,2,0,32.0,26.0,1,0,9
544,0,1,0,50.0,106.425,1,1,3
545,0,1,0,64.0,26.0,0,0,9
546,1,2,1,19.0,26.0,1,0,9
547,1,2,0,29.69911764705882,13.8625,0,0,9
548,0,3,0,33.0,20.525,2,0,9
549,1,2,0,8.0,36.75,2,0,9
550,1,1,0,17.0,110.8833,2,1,3
551,0,2,0,27.0,26.0,0,0,9
552,0,3,0,29.69911764705882,7.8292,0,0,9
553,1,3,0,22.0,7.225,0,0,9
554,1,3,1,22.0,7.775,0,0,9
555,0,1,0,62.0,26.55,0,0,9
556,1,1,1,48.0,39.6,1,1,1
557,0,1,0,29.69911764705882,227.525,0,0,9
558,1,1,1,39.0,79.65,2,1,5
559,1,3,1,36.0,17.4,1,0,9
560,0,3,0,29.69911764705882,7.75,0,0,9
561,0,3,0,40.0,7.8958,0,0,9
562,0,2,0,28.0,13.5,0,0,9
563,0,3,0,29.69911764705882,8.05,0,0,9
564,0,3,1,29.69911764705882,8.05,0,0,9
565,0,3,0,24.0,24.15,2,0,9
566,0,3,0,19.0,7.8958,0,0,9
567,0,3,1,29.0,21.075,4,0,9
568,0,3,0,29.69911764705882,7.2292,0,0,9
569,1,3,0,32.0,7.8542,0,0,9
570,1,2,0,62.0,10.5,0,0,9
571,1,1,1,53.0,51.4792,2,1,3
572,1,1,0,36.0,26.3875,0,1,5
573,1,3,1,29.69911764705882,7.75,0,0,9
574,0,3,0,16.0,8.05,0,0,9
575,0,3,0,19.0,14.5,0,0,9
576,1,2,1,34.0,13.0,0,0,9
577,1,1,1,39.0,55.9,1,1,5
578,0,3,1,29.69911764705882,14.4583,1,0,9
579,1,3,0,32.0,7.925,0,0,9
580,1,2,1,25.0,30.0,2,0,9
581,1,1,1,39.0,110.8833,2,1,3
582,0,2,0,54.0,26.0,0,0,9
583,0,1,0,36.0,40.125,0,1,1
584,0,3,0,29.69911764705882,8.7125,0,0,9
585,1,1,1,18.0,79.65,2,1,5
586,0,2,0,47.0,15.0,0,0,9
587,1,1,0,60.0,79.2,2,1,2
588,0,3,0,22.0,8.05,0,0,9
589,0,3,0,29.69911764705882,8.05,0,0,9
590,0,3,0,35.0,7.125,0,0,9
591,1,1,1,52.0,78.2667,1,1,4
592,0,3,0,47.0,7.25,0,0,9
593,0,3,1,29.69911764705882,7.75,2,0,9
594,0,2,0,37.0,26.0,1,0,9
595,0,3,0,36.0,24.15,2,0,9
596,1,2,1,29.69911764705882,33.0,0,0,9
597,0,3,0,49.0,0.0,0,0,9
598,0,3,0,29.69911764705882,7.225,0,0,9
599,1,1,0,49.0,56.9292,1,1,1
600,1,2,1,24.0,27.0,3,0,9
